objdump.c,2267 
objdump.c,615 elflink.c,7343
objdump.c,615 elfcode.h,488
objdump.c,615 elfcode.h,991
objdump.c,615 elfcode.h,1875
objdump.c,615 elfcore.h,22
objdump.c,615 elfcore.h,28
objdump.c,615 elfcore.h,34
objdump.c,615 elfcore.h,79
objdump.c,615 aout-target.h,132
objdump.c,615 aout-target.h,196
objdump.c,615 i386linux.c,68
objdump.c,615 aout-target.h,590
objdump.c,615 i386linux.c,200
objdump.c,615 aout-target.h,250
objdump.c,615 aoutx.h,1677
objdump.c,615 aoutx.h,2518
objdump.c,615 aoutx.h,2894
objdump.c,615 peicode.h,1384
objdump.c,615 peicode.h,257
objdump.c,615 coffcode.h,3624
objdump.c,615 coffcode.h,4755
objdump.c,615 coffcode.h,3164
objdump.c,615 cofflink.c,109
objdump.c,615 coffgen.c,417
objdump.c,615 coffgen.c,1994
objdump.c,615 peicode.h,1384
objdump.c,615 peicode.h,257
objdump.c,615 coffcode.h,3624
objdump.c,615 coffcode.h,4755
objdump.c,615 coffcode.h,3164
objdump.c,615 plugin.c,444
objdump.c,615 plugin.c,451
objdump.c,615 plugin.c,549
objdump.c,615 cache.c,279
objdump.c,615 cache.c,409
objdump.c,615 cache.c,415
objdump.c,615 linker.c,767
objdump.c,615 linker.c,748
objdump.c,615 syms.c,539
objdump.c,624 
objdump.c,624 objdump.c,1638
objdump.c,624 libbfd.c,675
objdump.c,624 libbfd.c,514
objdump.c,624 libbfd.c,522
objdump.c,624 libbfd.c,685
objdump.c,624 libbfd.c,695
objdump.c,624 libbfd.c,713
objdump.c,624 elf64-x86-64.c,6781
objdump.c,624 archive.c,334
objdump.c,624 archive.c,345
objdump.c,624 
objdump.c,624 elf-eh-frame.c,217
objdump.c,624 elf32-i386.c,413
objdump.c,624 elf32-i386.c,200
objdump.c,624 elf32-i386.c,360
objdump.c,624 elf32-i386.c,987
objdump.c,624 binary.c,149
objdump.c,624 srec.c,1191
objdump.c,624 tekhex.c,558
